idx,ko,en
69,그래서 당연히 저는 힘의 역학에 대해 관심이 있습니다.,"Well, this is what they are."
70,특히 강하고 우월해지기 위한 비언어적인 표현에,"So in the animal kingdom, they are about expanding."
71,관심이 많습니다.,"So you make yourself big, you stretch out,"
72,그렇다면 강하고 우월한 비언어적 행동이란 무엇일까요?,"you take up space, you're basically opening up."
73,이런겁니다.,It's about opening up.
74,동물의 세계에서는 이것이 세력을 확장하는데 쓰입니다.,And this is true across the animal kingdom.
75,자신을 크게 보이도록 하는거죠 . 몸을 쭉 늘여서요.,It's not just limited to primates.
76,공간을 차지해서 자신을 오픈하는 겁니다.,And humans do the same thing. (Laughter)
77,그냥 오픈하는 것 뿐입니다.,"So they do this both when they have power sort of chronically,"
78,영장류에만 국한되는게 아니고 모든 동물들이 그렇죠.,and also when they're feeling powerful in the moment.
79,인간들도 똑같은 행동을 하고요. (웃음),And this one is especially interesting because it really shows us
80,만성적인 힘을 가졌다고 생각하거나,how universal and old these expressions of power are.
81,그 순간 힘을 가진것 같을 때 이런 행동을 보이지요.,"This expression, which is known as pride,"
82,"이런건 특히 흥미로운데, 왜냐하면",Jessica Tracy has studied.
83,힘의 과시가 얼마나 일반적이고 오래된 행동인지를 보여주기 때문이에요.,She shows that people who are born with sight
84,자신감이라고도 하는 이런 표현에 대해,and people who are congenitally blind do this
85,제시카 트레이시가 연구를 했습니다.,when they win at a physical competition.
86,정상인이던 선천적으로 맹인이던 상관없이,"So when they cross the finish line and they've won,"
87,어떤 육체적인 경쟁에서 이겼을 때,it doesn't matter if they've never seen anyone do it.
88,모두 이런 행동을 보인다는 겁니다.,They do this.
89,"그들이 결승점을 통과하고 승리한 순간,","So the arms up in the V, the chin is slightly lifted."
90,다른 사람들이 그렇게 하는걸 본 적이 있건 없건 상관없이,What do we do when we feel powerless?
91,이와 같은 행동을 하는 겁니다.,We do exactly the opposite.
92,"팔을 들어 V자를 그리고, 턱은 치켜들죠.",We close up. We wrap ourselves up.
93,우리가 열세라고 느낄 때는 어떻게 하죠? 우리는 정확하게 반대로 합니다.,We make ourselves small.
94,자신을 닫아버리는거죠. 몸을 감싸 안아요.,We don't want to bump into the person next to us.
95,자기 자신을 작게 만들고 옆에 있는 사람과 부딪히기 싫어 합니다.,"So again, both animals and humans do the same thing."
96,역시 사람도 동물과 같은행동을 합니다.,And this is what happens when you put together high and low power.
97,이 모습은 사람들이 힘이 넘칠 때와 그렇지 않을 때 보이는 현상이죠.,So what we tend to do when it comes to power
98,힘과 관련해서 우리하는 내보이는 성향은,is that we complement the other's nonverbals.
99,다른 사람들의 비언어적 행동에 보조를 맞춘다는 겁니다.,"So if someone is being really powerful with us,"
100,어떤 사람이 정말 힘이 있다고 느껴지면,we tend to make ourselves smaller. We don't mirror them.
101,사람들은 자신을 움츠리는 경향이 있어요. 그들하고 똑같이 하지 않는거죠.,We do the opposite of them.
102,그 반대로 합니다.,"So I'm watching this behavior in the classroom,"
103,저는 이런 현상을 수업중에도 주시하는데,and what do I notice?
104,제가 느끼는게 뭔지 아세요?,I notice that MBA students really exhibit the full range of power nonverbals.
105,MBA 학생들이 비언어적 행동의 모든 범위를 보여준다는 겁니다.,"So you have people who are like caricatures of alphas,"
106,어떤 사람들은 알파의 특징을 보는 듯하죠.,"really coming into the room, they get right into the middle of the room"
107,교실에 들어오면 한가운데로 갑니다.,"before class even starts, like they really want to occupy space."
108,"수업이 시작하기도 전인데, 공간을 다 차지하려는 듯 행동하죠.","When they sit down, they're sort of spread out."
109,앉을 때는 몸을 쭉 뻗어 앉아요.,They raise their hands like this.
110,그런 사람들은 손을 이렇게 들고요.,You have other people who are virtually collapsing
111,어떤 사람들은 들어올 때부터 거의 웅크리 듯 합니다.,"when they come in. As soon they come in, you see it."
112,그런 사람은 들어오자 마자 알수 있어요.,"You see it on their faces and their bodies,"
113,그들의 표정에도 보이고 몸에도 나타납니다.,"and they sit in their chair and they make themselves tiny,"
114,의자에 앉을 때는 몸을 작게 해서 앉고,and they go like this when they raise their hand.
115,손을 뜰 때도 이렇게 들어요.,I notice a couple of things about this.
116,이에 대해서 저는 몇가지 눈여겨 본게 있어요.,"One, you're not going to be surprised."
117,"첫째는, 놀랄만한 일은 아닌데요.",It seems to be related to gender.
118,이것은 성별과도 관계가 있습니다.,So women are much more likely to do this kind of thing than men.
119,여자들이 남자들에 비해서 이런 행동을 더 많이 하는 편이에요.,"Women feel chronically less powerful than men,"
120,여자들은 남자들보다 만성적으로 힘이 덜센 것으로 느낍니다.,so this is not surprising.
121,그러니까 이건 그리 놀라운 건 아니죠. 그런데 제가 주목한 다른 것은,But the other thing I noticed
122,학생들의 참여도와 얼마나 주도적이었는지와도,is that it also seemed to be related to the extent
123,연관이 있는 것으로 보인다는 점입니다.,"to which the students were participating, and how well they were participating."
124,"이건 MBA 수업에서 아주 중요한데요,","And this is really important in the MBA classroom,"
125,참여도가 성적에 반 이상 반영되기 때문이에요.,because participation counts for half the grade.
126,경영대학은 이런 성별의 차이 문제로 고심해 왔습니다.,So business schools have been struggling with this gender grade gap.
127,똑같은 자질을 가진 남학생과 여학생이 입학해서,You get these equally qualified women and men coming in
128,성적에서 이런 차이를 보이게 되는거죠.,"and then you get these differences in grades,"
129,부분적으로는 참여성에 원인이 있는 듯이 보여요.,and it seems to be partly attributable to participation.
130,그래서 생각하기 시작했습니다. 네 그렇죠.,"So I started to wonder, you know, okay,"
131,사람들이 들어와서 이런식의 행동을 하도록 해서,"so you have these people coming in like this, and they're participating."
132,그러는 척 하도록 한다고 해서,Is it possible that we could get people to fake it
133,결과적으로 더 열심히 참여하게 만들 수 있을까요?,and would it lead them to participate more?
134,제 공동 연구원인 버클리대학의 데이나 카니는,"So my main collaborator Dana Carney, who's at Berkeley,"
135,실제로 그렇게 될때까지 흉내를 낼수 있을까 궁금했어요.,"and I really wanted to know, can you fake it till you make it?"
136,즉 이런 행동을 잠시라도 하면 결과적으로,"Like, can you do this just for a little while"
137,실제 자신이 파워풀하다고 느끼게 할 수 있을까 하고 말이죠.,and actually experience a behavioral outcome
138,우리는 비언어적 행동이 타인이 우리에 대해 생각하는가에 대해 어떤식으로,that makes you seem more powerful?
139,관련이 있는지 알고 있습니다. 많은 증거자료가 있죠.,So we know that our nonverbals govern how other people
140,"저희의 원래 의문점은, 사람들의 비언어적 행동이",think and feel about us. There's a lot of evidence.
141,우리가 우리 자신에 대해 어떻게 느끼는지를 지배할 수 있는가 였어요.,"But our question really was,"
142,그렇다는 증거가 일부 있습니다.,do our nonverbals govern how we think and feel about ourselves?
143,"예를 들어, 우리는 행복할 때 미소를 짓기도 하지만",There's some evidence that they do.
144,입에 이렇게 펜을 물어서 억지로,"So, for example, we smile when we feel happy,"
145,"웃어야 할 때도, 우리 자신이 행복하게 느낀다는 겁니다.","but also, when we're forced to smile"
146,그건 양방향으로 영향을 줍니다. 힘에 관해서도 마찬가지죠.,"by holding a pen in our teeth like this, it makes us feel happy."
147,그런 행동은 양방향으로 영향을 미치는거죠. 그래서 자신이 힘이 있다고 느끼면,So it goes both ways.
148,더 이런 행동을 하는 경향이 있어요. 그런데,"When it comes to power, it also goes both ways."
149,"힘이 있는 척 하다보면, 실제로 더 힘이 센 것처럼","So when you feel powerful,"
150,느끼게 되는 겁니다.,"you're more likely to do this,"
151,"그리고 두번째 의문점은, 사실,","but it's also possible that when you pretend to be powerful,"
152,"우리의 마음이 몸을 바꾸는 것은 알고 있지만,",you are more likely to actually feel powerful.
153,우리의 몸이 마음을 바꿀 수 있느냐는 것이었어요.,"So the second question really was, you know,"
154,"마음을 들여다 볼 때, 힘이 있으면","so we know that our minds change our bodies,"
155,제가 하고자 하는 말은 뭘까요?,but is it also true that our bodies change our minds?
156,그것은 생각과 느낌에 대한 것입니다.,"And when I say minds, in the case of the powerful,"
157,우리의 생각과 느낌의 기반이 되는 일종의 심리적인 것들 말이죠.,what am I talking about?
158,제 경우엔 호르몬의 문제라서 저는 호르몬에 주목했어요.,So I'm talking about thoughts and feelings
159,힘이 있는 마음과 힘이 없는 마음에는 어떤,"and the sort of physiological things that make up our thoughts and feelings,"
160,공통점이 있죠?,"and in my case, that's hormones. I look at hormones."
161,"힘 있는 사람들이 더 확신에 차있고, 더 자신감이 있고",So what do the minds of the powerful versus the powerless look like?
162,더 낙관적인 것은 그리 놀라운게 아니죠.,"So powerful people tend to be, not surprisingly,"
163,이런 사람들은 사실 확률 게임에서조차 이길거라고 생각합니다.,"more assertive and more confident, more optimistic."
164,또한 더 추상적으로 생각하는 능력이 있는 편이죠.,They actually feel they're going to win even at games of chance.
165,차이가 굉장히 많습니다. 위험도 더 많이 감수하는 편이죠.,They also tend to be able to think more abstractly.
166,힘 있는 사람들과 그렇지 않은 사람들 사이에는 많은 차이가 있어요.,So there are a lot of differences. They take more risks.
167,생리학적으로도 두가지 중요한 호르몬에서 차이를 보입니다.,There are a lot of differences between powerful and powerless people.
168,지배적인 작용을 하는 호르몬인 테스토스테론과,"Physiologically, there also are differences"
169,스트레스 호르몬인 코디졸이죠.,"on two key hormones: testosterone, which is the dominance hormone,"
170,저희가 알아낸 바로는,"and cortisol, which is the stress hormone."
171,영장류에서 힘이 있는 알파 남성은,So what we find is that high-power alpha males in primate hierarchies
172,테스토스테론이 많고 코티졸을 적게 갖고 있습니다.,"have high testosterone and low cortisol,"
173,힘 있고 효율적인 지도자도,and powerful and effective leaders
174,마찬가지에요.,also have high testosterone and low cortisol.
175,"그건 무슨 의미일까요? 힘에 대해 생각할 때,","So what does that mean? When you think about power,"
176,사람들은 테스토스테론만을 고려하는 경향이 있어요.,"people tended to think only about testosterone,"
177,왜냐하면 이것이 지배적 작용을 하는 호르몬이니까요.,because that was about dominance.
178,"하지만 사실은, 힘이란 사람들이 스트레스에 대해 어찌 대응하는가의 문제이기도 하죠.","But really, power is also about how you react to stress."
179,그러니까 여러분은 정말 지배적인 힘을 갖고 있는 지도자가,"So do you want the high-power leader that's dominant,"
180,테스토스테론이 높고 정말로 스트레스에 반응하기를 바라시나요?,"high on testosterone, but really stress reactive?"
181,아마 아닐겁니다. 여러분은 힘 있고 확신에 찬,"Probably not, right?"
182,유능한 지도자를 원하실거에요.,"You want the person who's powerful and assertive and dominant,"
183,그러면서도 스트레스에 덜 민감하고 여유있는 사람이길 바라겠죠.,"but not very stress reactive, the person who's laid back."
184,"영장류 사회에서, 알파류의 사람이 나서야 하면,","So we know that in primate hierarchies,"
185,"그러니까, 갑자기 어떤 사람이 알파의 역할을","if an alpha needs to take over,"
186,하려고 한다면,"if an individual needs to take over an alpha role sort of suddenly,"
187,며칠 내로 그 사람의 테스토스테론 수준은 상당히 올라가고,"within a few days, that individual's testosterone has gone up"
188,코티졸은 엄청나게 줄어들겁니다.,significantly and his cortisol has dropped significantly.
189,"저희는 이런 증거도 갖고 있어요. 즉, 몸은","So we have this evidence, both that the body can shape"
190,적어도 표정 수준에서는 마음을 지배합니다.,"the mind, at least at the facial level,"
191,그리고 역할의 변화는 마음을 바꾸기도 합니다.,and also that role changes can shape the mind.
192,"그래서 실제로는, 역할을 바꿔보도록 하세요.","So what happens, okay, you take a role change,"
193,최소한의 수준에서 그렇게 하면 어떻게 되는지 보세요.,"what happens if you do that at a really minimal level,"
194,"이렇게 사소한 방법, 이런 작은 변화라구요?","like this tiny manipulation, this tiny intervention?"
195,"이렇게 말하고 싶군요. ""2분동안, 그런 모습으로 있어보세요.""","""For two minutes,"" you say, ""I want you to stand like this,"
196,"""자신이 훨씬 더 힘 있게 느끼실 겁니다.""","and it's going to make you feel more powerful."""
197,저희는 이런 것도 해봤어요.,So this is what we did.
198,사람들은 실험실로 데려와 간단한 실험을 해봤습니다.,"We decided to bring people into the lab and run a little experiment,"
199,이 사람들이 2분동안 힘 센 사람처럼 혹은 힘없는 사람처럼,"and these people adopted, for two minutes,"
200,행동하도록 했습니다. 제가 다섯가지 자세를,"either high-power poses or low-power poses,"
201,말씀드리죠. 얼핏 보기엔 단 두가지 자세처럼 보입니다.,"and I'm just going to show you five of the poses,"
202,첫번째 자세에요.,although they took on only two.
203,몇 가지 더 있습니다.,So here's one.
204,"이 자세는 언론에서 ""원더 우먼"" 자세라고",A couple more.
205,불렀죠.,"This one has been dubbed the ""Wonder Woman"" by the media."
206,몇가지 더 있어요.,Here are a couple more.
207,그러니까 서 있을 수도 있고 앉아있을 수도 있습니다.,So you can be standing or you can be sitting.
208,그리고 이건 힘이 작은 사람의 자세에요.,And here are the low-power poses.
209,팔을 꼬고 자신을 작게 하는거죠.,"So you're folding up, you're making yourself small."
210,이건 아주 낮은 힘의 수준이고요.,This one is very low-power.
211,자신의 목을 만지면,"When you're touching your neck, you're really protecting yourself."
212,자기를 보호하고 있다는 뜻이죠.,So this is what happens.
213,결과를 보여드릴까요. 사람들이 들어옵니다.,"They come in, they spit into a vial,"
214,실험 용기에 침을 채취하고,"for two minutes, we say, ""You need to do this or this."""
215,"2분동안 이렇게 말합니다. ""이렇게 하거나 이렇게 하세요.""",They don't look at pictures of the poses.
216,그 사람들은 자세에 대한 사진을 보지 못 합니다. 힘의 개념에 대해서,We don't want to prime them with a concept of power.
217,미리 영향을 주지 않으려는거죠. 우리는 그 사람들이 힘 있게 느끼기를 바랍니다.,We want them to be feeling power.
218,2분 동안 이렇게 하면서 말이죠.,So two minutes they do this.
219,"그리고는 일련의 질문을 던집니다. ""자신이 얼마나 힘이 있다고 느껴지나요?""","We then ask them, ""How powerful do you feel?"" on a series of items,"
220,그 다음에 도박을 해 보도록 하고,"and then we give them an opportunity to gamble,"
221,다시 타액 샘플을 채취합니다.,and then we take another saliva sample.
222,그게 다에요. 그게 실험의 전부입니다.,That's it. That's the whole experiment.
223,"우리가 알아낸 것은 이런 겁니다. 위험에 대응하는거죠, 도박이 그런거니까요.",So this is what we find.
224,"우리가 알아낸 것은 자신이 최고조로 힘이 센 조건에 있을 때,","Risk tolerance, which is the gambling,"
225,86%가 도박에 참여한다는 겁니다.,"we find that when you are in the high-power pose condition,"
226,"자신이 가장 힘이 약한 조건에 있을 때는,",86 percent of you will gamble.
227,겨우 60%만 참여했죠. 그건 엄청난 차이에요.,"When you're in the low-power pose condition,"
228,이게 저희가 테스토스테론에 대해 밝혀 낸 건데요.,"only 60 percent, and that's a whopping significant difference."
229,처음 들어온 시점에서 힘센 자세를 취한 사람들은,Here's what we find on testosterone.
230,약 20%의 증가를 나타냈습니다.,"From their baseline when they come in,"
231,힘이 약한 자세를 취한 사람들은 약 10%정도 줄어 들었어요.,"high-power people experience about a 20-percent increase,"
232,"여기서도, 2분동안에 이런 차이가 나타났습니다.",and low-power people experience about a 10-percent decrease.
233,코티졸에 대해서는 이런 결과가 나왔습니다.,"So again, two minutes, and you get these changes."
234,힘센 자세를 취한 사람들은 코티졸이 약 25% 감소했고,Here's what you get on cortisol.
235,힘이 약한 자세를 취한 사람들은 약 15% 증가했어요.,"High-power people experience about a 25-percent decrease,"
236,2분의 시간이 이런 호르몬의 차이를 가져왔고,and the low-power people experience about a 15-percent increase.
237,그건 사람들의 뇌에 작용해서,So two minutes lead to these hormonal changes
238,"좀더 적극적이고, 자신있고, 편안해지거나",that configure your brain
239,"스트레스에 민감하게 반응해서, 일종의 가로막힌 듯한 느낌을","to basically be either assertive, confident and comfortable,"
240,받기도 한다는거죠. 이런 느낌 받아보셨죠?,"or really stress-reactive, and feeling sort of shut down."
241,그러니까 비언어적 행동은 사람들이 자기 자신에 대해,"And we've all had the feeling, right?"
242,"어떻게 생각하는지, 어떤 느낌을 갖는지를 결정하는 듯합니다.","So it seems that our nonverbals do govern how we think and feel about ourselves,"
243,그저 남의 이야기가 아니라 우리 자신의 이야기입니다.,"so it's not just others, but it's also ourselves."
244,또한 우리의 신체는 우리의 마음도 바꿉니다.,"Also, our bodies change our minds."
245,그러면 물론 다음 의문점은,"But the next question, of course,"
246,몇 분간 힘센 척하는 자세만으로,"is, can power posing for a few minutes"
247,자신의 삶을 의미있는 정도로 바꿀 수 있는가? 하는 겁니다.,really change your life in meaningful ways?
248,이건 실험실에서의 결과에요. 별로 어려운게 아니었죠.,"This is in the lab, it's this little task, it's just a couple of minutes."
249,겨우 2분이었으니까요. 그렇다면 실제로 이것을,Where can you actually apply this?
250,어디에 적용 할 수 있을까요?,"Which we cared about, of course."
251,"물론 여러분의 관심사는 제가 생각하기로는,","And so we think where you want to use this is evaluative situations,"
252,누군가에게 평가를 받는 자리가 아닐까 생각해요.,like social threat situations.
253,자신이 평가를 받는 상황 같은 두려운 상황처럼 말이죠.,"Where are you being evaluated, either by your friends?"
254,십대들이 점심시간에 친구한테 하듯이 혹은,"For teenagers, it's at the lunchroom table."
255,학급회의에서 사람들에게 이야기를 하는 것 같은,For some people it's speaking at a school board meeting.
256,상황 말이죠. 지금의 저처럼요.,It might be giving a pitch or giving a talk like this
257,이렇게 강연을 하거나,or doing a job interview.
258,구직 면접을 하는 것 같은 경우겠죠.,We decided that the one that most people could relate to
259,우리는 대부분의 사람들이 경험했을 만한 것이,"because most people had been through, was the job interview."
260,구직 면접이라고,"So we published these findings,"
261,생각을 했어요.,"and the media are all over it,"
262,"저희가 이런 결과를 발표했더니, 온갖 대중 매체에서","and they say, Okay, so this is what you do"
263,관심을 보였습니다. 좋아요. 이런게 구직 면접을 보러,"when you go in for the job interview, right?"
264,들어갈 때 하는 행동이죠? (웃음),(Laughter)
265,물론 저희가 두려워 했던 것도 있어요.,"You know, so we were of course horrified, and said,"
266,아니요. 절대로 그게 우리가 뜻한 바는 아니라고 생각했죠.,"Oh my God, no, that's not what we meant at all."
267,"많은 이유로 이런건 절대, 절대로 안되는 겁니다.","For numerous reasons, no, don't do that."
268,즉 이건 여러분이 다른 사람에게 말하는게 아닙니다.,"Again, this is not about you talking to other people."
269,여러분 자신에게 말해야 하는거에요.,It's you talking to yourself.
270,구직 면접을 보러 가기 전에 뭘 하시죠? 이렇게 하나요.,What do you do before you go into a job interview? You do this.
271,그렇죠? 자리에 앉아 아이폰을 봅니다 --,You're sitting down. You're looking at your iPhone --
272,아니면 안드로이드폰이겠죠. 대부분이 이럴겁니다.,"or your Android, not trying to leave anyone out."
273,사람들은 노트를 보기도 하고,"You're looking at your notes,"
274,등을 구부려 몸을 작아 보이게도 하죠.,"you're hunching up, making yourself small,"
275,사실 이럴 때 꼭 해야 하는 건 이런 걸거에요.,"when really what you should be doing maybe is this,"
276,"화장실에서, 이런 자세를 해보세요. 딱 2분입니다.","like, in the bathroom, right? Do that. Find two minutes."
277,그게 우리가 시도해 보려고 하는거잖아요?,So that's what we want to test. Okay?
278,그래서 사람들을 실험실에 데려옵니다.,"So we bring people into a lab,"
279,힘 있거나 혹은 힘 없는 자세를 취하게 하죠.,"and they do either high- or low-power poses again,"
280,그 다음엔 스트레스를 받는 구직 면접 과정을 거치게 합니다.,they go through a very stressful job interview.
281,5분 정도 걸리죠. 전부 녹음합니다.,It's five minutes long. They are being recorded.
282,평가도 받죠. 평가자들은 어떤 비언어적 표시도,"They're being judged also,"
283,하지 않도록 훈련받은 사람들이에요.,"and the judges are trained to give no nonverbal feedback,"
284,아마 이런 자세겠죠.,so they look like this.
285,이 사람이 면접관 인데요.,Imagine this is the person interviewing you.
286,5분동안 아무 표정도 짓지 않아요. 이건 야유를 듣는 것보다 더 힘들어요.,"So for five minutes, nothing, and this is worse than being heckled."
287,사람들은 이런걸 싫어합니다. 마리안느 라프란스 교수가,People hate this.
288,"""모래구덩이 속으로 빠지는 기분"" 이라고 묘사 했듯 말입니다.","It's what Marianne LaFrance calls ""standing in social quicksand."""
289,이건 사람들의 코티졸 수준을 폭발시키죠.,So this really spikes your cortisol.
290,이게 우리가 실험 했던 구직 면접이에요.,"So this is the job interview we put them through,"
291,어떤 결과가 나오는지 정말 궁금했거든요.,because we really wanted to see what happened.
292,그 다음에 4개의 녹음된 테잎을 보여주었어요.,"We then have these coders look at these tapes, four of them."
293,이 사람들은 실험의 목적에 대해 모릅니다. 아무것도 모른체였죠.,They're blind to the hypothesis. They're blind to the conditions.
294,"그 사람들은 누가 어떤 자세를 취했는지 몰랐는데,","They have no idea who's been posing in what pose,"
295,이 테잎들을 보고는,"and they end up looking at these sets of tapes,"
296,"""이런 사람들을 고용하고 싶어요.""라고 했습니다.","and they say, ""We want to hire these people,"""
297,"모두 힘 센 자세를 취했던 사람이었죠. 또는 ""이 사람들은 고용하고 싶지 않아요.""라거나",all the high-power posers.
298,"""이들을 전반적으로 좋은 평가를 주겠습니다."" 라는 반응도 나왔죠.","""We don't want to hire these people."
299,무엇이 이런 결과를 초래했을까요? 평가는 면담의 내용에 대한 것이 아니었거든요.,"We also evaluate these people much more positively overall."""
300,면담에 온 사람들의 자세에 대한 것이었어요.,But what's driving it?
301,사람들을 경쟁력에 관련된 여러가지 변수를 고려하여,It's not about the content of the speech.
302,"평가했기 때문에, 그러니까 면담이 얼마나 논리적이었나?",It's about the presence that they're bringing to the speech.
303,"얼마나 잘했나? 사람들의 자격은 어떤가? 같은 것이였는데,",Because we rate them on all these variables
304,그런 것에는 아무 영향을 받지 않았어요. 이것이 영향을 주었던 것이에요.,"related to competence, like, how well-structured is the speech?"
305,이런 요소들이 문제였던거죠. 사람들은 진짜 자기 자신을 드러냅니다.,How good is it? What are their qualifications?
306,기본적으로요. 자신을 보여주며 다니는거죠.,No effect on those things. This is what's affected.
307,생각도 나타내기는 하지만 자신에 대해,These kinds of things.
308,별로 남아 있는게 없습니다.,"People are bringing their true selves, basically."
309,"이것이 결과를, 혹은 결과에 영향을 주는 요소였던 겁니다.",They're bringing themselves.
310,"제가 사람들에게 이런 사실을 말할 때,","They bring their ideas, but as themselves,"
